"ID","Name","Part Number","Location Name","Description","Quantity","Cost per unit","Barcode","Area","Minimum Quantity","Maximum Quantity","Additional Part Details","Category","Mark Non-Stock","Mark Critical","Asset Names","Assigned User Emails","Assigned Team Names","Assigned Vendor Names","Assigned Customer Names","Tags"
"i7g7fekXjX","FMNH-Paper Towels",,"FMNH-Field Museum of Natural History","1 Box  1000 Count",5,"19.95",,"0","1",,,"Cleaning",false,,"","","","","",""
"ODGhrJHXgh","FMNH-Microfiber Dusters flex",,"FMNH-Field Museum of Natural History","1 unit",2,"15.95",,"0","1",,,"Cleaning",false,,"","","","","",""
"narTG8exnA","FMNH-Micofiber Cloths",,"FMNH-Field Museum of Natural History","12 Pack",4,"14.97",,"0","1",,,"Cleaning",false,,"","","","","",""
"SdUP7fYqZD","FMNH-Liquid Disenfectant Spray",,"FMNH-Field Museum of Natural History","1 Gallon",1,"19.97",,"0","1",,,"Cleaning",false,,"","","","","",""
"ELcQ7ABHXt","FMNH-Hand sanitizer",,"FMNH-Field Museum of Natural History","1 Gallon",1,"0",,"0","1",,,"Cleaning",false,,"","","","","",""
"AabCw9gl0s","FMNH-Febreze",,"FMNH-Field Museum of Natural History","1 27oz",4,"4.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"6YzzrE2BSw","FMNH-Fabuloso",,"FMNH-Field Museum of Natural History","1 Gallon",1,"2.89",,"0","1",,,"Cleaning",false,,"","","","","",""
"XTUkHqEF5i","FMNH-Disposable Gloves",,"FMNH-Field Museum of Natural History","1 box 100 count",0,"16.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"IZbiCeF05z","FMNH-Cleaning rags",,"FMNH-Field Museum of Natural History","1 box 200 count",1,"11.48",,"0","1",,,"Cleaning",false,,"","","","","",""
"OdtT79nk3i","FMNH-Armoral Multi Purpose",,"FMNH-Field Museum of Natural History","1 160z",0,"4.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"ABTXzLdZxr","FMNH-409 Cleaner",,"FMNH-Field Museum of Natural History","1 32oz",0,"3.79",,"0","1",,,"Cleaning",false,,"","","","","",""
"QGMN8JZ6cN","NASM-Glass Cleaner",,"","1 23oz",2,"1.22",,"0","1",,,"Cleaning",false,,"","","","","",""
"1uHIV8VuUT","NASM-VR Face Shields",,"","1 bag 150 count",0,"15",,"0","4",,,"Cleaning",false,,"","","","","",""
"YSY9DwCbsb","NASM-Trash Bags",,"","1 Box 500",0,"11.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"yoU2GZhfRv","NASM-Paper Towels",,"","1 Box  1000 Count",0,"19.95",,"0","1",,,"Cleaning",false,,"","","","","",""
"Pg7JjoSjQv","NASM-Microfiber Dusters flex",,"","1 unit",0,"15.95",,"0","1",,,"Cleaning",false,,"","","","","",""
"x088YPodwA","NASM-Micofiber Cloths",,"","12 Pack",2,"14.97",,"0","1",,,"Cleaning",false,,"","","","","",""
"SLcD3QECLw","NASM-Liquid Disenfectant Spray",,"","1 Gallon",0,"19.97",,"0","1",,,"Cleaning",false,,"","","","","",""
"kEGQBwUpZL","NASM-Hand sanitizer",,"","1 Gallon",0,"0",,"0","1",,,"Cleaning",false,,"","","","","",""
"AAWXU35IiA","NASM-Febreze",,"","1 27oz",0,"4.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"pZ0o8b3DgM","NASM-Fabuloso",,"","1 Gallon",1,"2.89",,"0","1",,,"Cleaning",false,,"","","","","",""
"uWozuTCFcP","NASM-Disposable Gloves",,"","1 box 100 count",2,"16.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"aiTkQOIF3t","NASM-Cleaning rags",,"","1 box 200 count",0,"11.48",,"0","1",,,"Cleaning",false,,"","","","","",""
"nNkHW3UOFv","NASM-Armoral Multi Purpose",,"","1 160z",0,"4.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"B8aVJeqzWD","NASM-409 Cleaner",,"","1 32oz",0,"3.79",,"0","1",,,"Cleaning",false,,"","","","","",""
"qhyawkGwR2","NASM-Joystick Covers",,"","1 box 1000 count Disposable joystick covers",0,"11.5",,"0","2",,,"Cleaning",false,,"","","","","",""
"EMWeTJ0hM4","MAH-Glass Cleaner",,"NMAH-National Museum of American History","1 23oz",3,"1.22",,"0","1",,,"Cleaning",false,,"","","","","",""
"cghe7R5zZb","MAH-VR Face Shields",,"NMAH-National Museum of American History","1 bag 150 count",0,"15",,"0","4",,,"Cleaning",false,,"","","","","",""
"bJ0gLOsxBA","MAH-Trash Bags",,"NMAH-National Museum of American History","1 Box 500",0,"11.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"VPnxe4BELe","MAH-Paper Towels",,"NMAH-National Museum of American History","1 Box  1000 Count",0,"19.95",,"0","1",,,"Cleaning",false,,"","","","","",""
"lAFtGeamPM","MAH-Microfiber Dusters flex",,"NMAH-National Museum of American History","1 unit",0,"15.95",,"0","1",,,"Cleaning",false,,"","","","","",""
"rlhpZsfs6O","MAH-Micofiber Cloths",,"NMAH-National Museum of American History","12 Pack",1,"14.97",,"0","1",,,"Cleaning",false,,"","","","","",""
"eURNyWF5jv","MAH-Liquid Disenfectant Spray",,"NMAH-National Museum of American History","1 Gallon",0,"19.97",,"0","1",,,"Cleaning",false,,"","","","","",""
"vGTIOO6llc","MAH-Hand sanitizer",,"NMAH-National Museum of American History","1 Gallon",0,"0",,"0","1",,,"Cleaning",false,,"","","","","",""
"aON7HKLQEW","MAH-Febreze",,"NMAH-National Museum of American History","1 27oz",0,"4.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"9pYYS7uEI7","MAH-Fabuloso",,"NMAH-National Museum of American History","1 Gallon",1,"2.89",,"0","1",,,"Cleaning",false,,"","","","","",""
"1WOS8jOuuO","MAH-Disposable Gloves",,"NMAH-National Museum of American History","1 box 100 count",3,"16.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"MxityxnxQ2","MAH-Clorox Bleach",,"NMAH-National Museum of American History","1 Gallon",0,"4.42",,"0","1",,,"Cleaning",false,,"","","","","",""
"giElL9OdAM","MAH-Cleaning rags",,"NMAH-National Museum of American History","1 box 200 count",0,"11.48",,"0","1",,,"Cleaning",false,,"","","","","",""
"2VlKgLCt7l","MAH-Armoral Multi Purpose",,"NMAH-National Museum of American History","1 160z",4,"4.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"xWhTE6K5db","MAH-409 Cleaner",,"NMAH-National Museum of American History","1 32oz",0,"3.79",,"0","1",,,"Cleaning",false,,"","","","","",""
"hwG2cF5G6F","MAH-Joystick Covers",,"NMAH-National Museum of American History","1 box 1000 count Disposable joystick covers",0,"11.5",,"0","2",,,"Cleaning",false,,"","","","","",""
"51k6doyUnM","HAZY-Glass Cleaner",,"HAZY-Steven F. Udvar-Hazy Center","1 23oz",1,"1.22",,"0","1",,,"Cleaning",false,,"","","","","",""
"gkmXFIVx2X","HAZY-VR Face Shields",,"HAZY-Steven F. Udvar-Hazy Center","1 bag 150 count",0,"15",,"0","4",,,"Cleaning",false,,"","","","","",""
"1JSCcNVlCJ","HAZY-Trash Bags",,"HAZY-Steven F. Udvar-Hazy Center","1 Box 500",0,"11.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"pPOQ86Q9EM","HAZY-Paper Towels",,"HAZY-Steven F. Udvar-Hazy Center","1 Box  1000 Count",1,"19.95",,"0","1",,,"Cleaning",false,,"","","","","",""
"ZUu95F7KGz","HAZY-Microfiber Dusters flex",,"HAZY-Steven F. Udvar-Hazy Center","1 unit",0,"15.95",,"0","1",,,"Cleaning",false,,"","","","","",""
"jCXyuQbxDQ","HAZY-Micofiber Cloths",,"HAZY-Steven F. Udvar-Hazy Center","12 Pack",0,"14.97",,"0","1",,,"Cleaning",false,,"","","","","",""
"AgjJC8OLBD","HAZY-Liquid Disenfectant Spray",,"HAZY-Steven F. Udvar-Hazy Center","1 Gallon",0,"19.97",,"0","1",,,"Cleaning",false,,"","","","","",""
"qGgaGGY825","HAZY-Hand sanitizer",,"HAZY-Steven F. Udvar-Hazy Center","1 Gallon",0,"0",,"0","1",,,"Cleaning",false,,"","","","","",""
"1yh90zmICB","HAZY-Febreze",,"HAZY-Steven F. Udvar-Hazy Center","1 27oz",1,"4.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"4FZFGXj3xS","HAZY-Fabuloso",,"HAZY-Steven F. Udvar-Hazy Center","1 Gallon",0,"2.89",,"0","1",,,"Cleaning",false,,"","","","","",""
"1p8QxZDNBO","HAZY-Disposable Gloves",,"HAZY-Steven F. Udvar-Hazy Center","1 box 100 count",0,"16.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"ELZC52vV1A","HAZY-Cleaning rags",,"HAZY-Steven F. Udvar-Hazy Center","1 box 200 count",2,"11.48",,"0","1",,,"Cleaning",false,,"","","","","",""
"HNiHnV54mo","HAZY-Armoral Multi Purpose",,"HAZY-Steven F. Udvar-Hazy Center","1 160z",2,"4.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"AgAs6uhYhO","HAZY-409 Cleaner",,"HAZY-Steven F. Udvar-Hazy Center","1 32oz",0,"3.79",,"0","1",,,"Cleaning",false,,"","","","","",""
"WUvtcHFrax","HAZY-Joystick Covers",,"HAZY-Steven F. Udvar-Hazy Center","1 box 1000 count Disposable joystick covers",0,"11.5",,"0","2",,,"Cleaning",false,,"","","","","",""
"NeS1KYhpjH","CSC-Glass Cleaner",,"CSC-California Science Center","1 23oz",1,"1.22",,"0","1",,,"Cleaning",false,,"","","","","",""
"0U7orImtyC","CSC-VR Eye Masks",,"CSC-California Science Center","1 bag 100 count",29,"15",,"0","4",,,"Cleaning",false,,"","","","","",""
"EJlpRDSw00","CSC-Trash Bags",,"CSC-California Science Center","1 Box 500",2,"11.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"wGf4qpk49P","CSC-Paper Towels",,"CSC-California Science Center","1 Box  1000 Count",0,"19.95",,"0","1",,,"Cleaning",false,,"","","","","",""
"gVMdOG6JSk","CSC-Microfiber Dusters flex",,"CSC-California Science Center","1 unit",0,"15.95",,"0","1",,,"Cleaning",false,,"","","","","",""
"NsvIcD0XWs","CSC-Micofiber Cloths",,"CSC-California Science Center","12 Pack",0,"14.97",,"0","1",,,"Cleaning",false,,"","","","","",""
"LhJ0K6hUOw","CSC-Liquid Disenfectant Spray",,"CSC-California Science Center","1 Gallon",0,"19.97",,"0","1",,,"Cleaning",false,,"","","","","",""
"8JNkGxfA4j","CSC-Hand sanitizer",,"CSC-California Science Center","1 Gallon",0,"0",,"0","1",,,"Cleaning",false,,"","","","","",""
"MwZ0FBJWwa","CSC-Febreze",,"CSC-California Science Center","1 27oz",0,"4.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"6kRj5ps6KA","CSC-Fabuloso",,"CSC-California Science Center","1 Gallon",0,"2.89",,"0","1",,,"Cleaning",false,,"","","","","",""
"MuvYERQgBI","CSC-Disposable Gloves",,"CSC-California Science Center","1 box 100 count",9,"16.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"GltCgxzMwa","CSC-Cleaning rags",,"CSC-California Science Center","1 box 200 count",0,"11.48",,"0","1",,,"Cleaning",false,,"","","","","",""
"588bJF3Sfh","CSC-Armoral Multi Purpose",,"CSC-California Science Center","1 160z",0,"4.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"sJvUK1ub74","CSC-409 Cleaner",,"CSC-California Science Center","1 32oz",1,"3.79",,"0","1",,,"Cleaning",false,,"","","","","",""
"gqApP0sWVS","CSC-Joystick Covers",,"CSC-California Science Center","1 box 1000 count Disposable joystick covers",0,"11.5",,"0","2",,,"Cleaning",false,,"","","","","",""
"yiz1GoF2dM","OMSI-Glass Cleaner",,"","1 23oz",1,"1.22",,"0","1",,,"Cleaning",false,,"","","","","",""
"IDfXamxOoW","OMSI-Liquid Disenfectant Spray",,"","1 Gallon",1,"19.97",,"0","1",,,"Cleaning",false,,"","","","","",""
"6raZS3QDbg","OMSI-Hand sanitizer",,"","1 Gallon",1,"0",,"0","1",,,"Cleaning",false,,"","","","","",""
"rfR4wLHL5b","OMSI-Febreze",,"","1 27oz",1,"4.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"vDXjXmFg9H","OMSI-Fabuloso",,"","1 Gallon",1,"2.89",,"0","1",,,"Cleaning",false,,"","","","","",""
"U53sO26U8j","OMSI-Disposable Gloves",,"","1 box 100 count",0,"16.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"MB57J0bi2u","OMSI-Cleaning rags",,"","1 box 200 count",1,"11.48",,"0","1",,,"Cleaning",false,,"","","","","",""
"96ldp6S5PL","OMSI-Armoral Multi Purpose",,"","1 160z",1,"4.99",,"0","1",,,"Cleaning",false,,"","","","","",""
"AmWH5xzDXS","OMSI-409 Cleaner",,"","1 32oz",1,"3.79",,"0","1",,,"Cleaning",false,,"","","","","",""
"4E7P8zo1br","GAAQ-Receipt Paper",,"GAAQ-Georgia Aquarium","80mm Single roll receipt paper",16,,,,"6",,,,false,,"","","GAAQ ","","",""
"qlMSPavxqd","MOSI-VR Headsets",,"MOSI Tampa","Backup Inventory ",1,,"","","1.0",,"Quantities do not reflect the five headsets currently allocated for the ride.","",false,,"","","","","",""
"XKekb1Mu0y","MOSI-VR Headsets-Link Box",,"MOSI Tampa","Backup Inventory ",1,,"","","1.0",,"","",false,,"","","","","",""
"ilgI1tEGrf","MOSI-VR Headsets-Cables",,"MOSI Tampa","Backup Inventory ",-1,,"","","1.0",,"","",false,,"","","","","",""
"aJOe7hx2w9","MOSI-Wiring Harness Protective Jacket",,"MOSI Tampa","Backup Inventory ",1,,"","","0.0",,"Platform's main wiring harness","",false,,"VRT010","","","","",""
"cN1fekbhqb","MOSI-Grease Gun Refill Tubes",,"MOSI Tampa","Backup Inventory ",1,,"","","1.0",,"","",false,,"","","","","",""
"rkVXQM8hbj","MOSI-Seatbelt, female side",,"MOSI Tampa","Backup Inventory ",1,,"","","0.0",,"","",false,,"","","","","",""
"QVMawY1aFk","MOSI-Seatbelt Extensions",,"MOSI Tampa","",2,,"","","0.0",,"","",false,,"","","","","",""
"ccrEL820vT","OMSI-Swiffer Wet Pads",,,"1 box 36 count",1,,,,"1",,,,false,,"","","","","",""
"gjsWdG1tYg","OMSI-Clorox wipes",,,"Clorox wipes",3,,,,"1",,,,false,,"","","","","",""
"DiO0necyBF","MOSI-White Spot Light",,,"",1,,"","","0.0",,"","",false,,"","","","","",""
"GowDh055gI","MOSI-Blue Spot Light",,"MOSI Tampa","",1,,"","","0.0",,"","Backup Inventory",false,,"VRT010,Miscellaneous Equipment MOSI","","","","",""
"vWV5WdUWjO","LEX-ODOBAN",,,"ODOBAN Deodorizer Disinfectant",1,"8","732109400053",,"1",,,"CLEANING",false,,"","atibbs@pulseworksops.com","","","",""
"7nJDdhBgME","LEX-ZEP Ammonia Free Glass Cleaner Concentrate",,,"ZEP Ammonia Free Glass Cleaner Concentrate",1.5,,"021709009064",,"1",,,"CLEANING",false,,"","atibbs@pulseworksops.com","","","",""
"9yKBeP2FCW","LEX-SIMPLE GREEN",,,"SIMPLE GREEN",1.5,,"043318130052",,"1",,,"CLEANING",false,,"","atibbs@pulseworksops.com","","","",""
"CDOTvfNixg","LEX-409 Cleaner Degreaser Disinfectant",,,"409 Cleaner Degreaser Disinfectant",1.5,,"044600353005",,"1",,,"CLEANING",false,,"","atibbs@pulseworksops.com","","","",""
"wrhaLZZpeQ","LEX-Brilliance Stainless Steel Cleaner",,,"Brilliance Stainless Steel Cleaner",1,,"831788000117",,"1",,,"CLEANING",false,,"","atibbs@pulseworksops.com","","","",""
"byw93HlCiR","LEX-HDX Spray Bottle",,,"HDX Spray Bottle",0,,"042854323010",,,,,"CLEANING",false,,"","atibbs@pulseworksops.com","","","",""
"MIV2dywBkP","LEX-Goo Gone",,,"Goo Gone",1,,"070048114847",,"1",,,"CLEANING",false,,"","atibbs@pulseworksops.com","","","",""
"z5OWnuNW2z","LEX-WD-40",,,"WD-40",1,,"079567490050",,"1",,,,false,,"","atibbs@pulseworksops.com","","","",""
"1KACuyGNXk","LEX-3M SUPER 77 Spray Adhesive",,,"3M SUPER 77 Spray Adhesive",1,,"021200212109",,"1",,,,false,,"","atibbs@pulseworksops.com","","","",""
"h7savyLqIg","LEX-Papermate Profile Pens",,,"Papermate Profile Pens",6,,"041540894650","","10",,,"OFFICE",false,,"","atibbs@pulseworksops.com","","","",""
"KF9IBtsiy3","LEX-Sharpie Permanent Marker Pens",,,"Sharpie Pens",11,,,,"6",,,"OFFICE",false,,"","","","","",""
"MylGNuk8z3","LEX-BIC WiteOut",,,"BIC WiteOut",2,,"070330507548",,"1",,,"OFFICE",false,,"","atibbs@pulseworksops.com","","","",""
"lurM7PvHDy","LEX-BROTHER MFC-L2170DW TONER TN760",,,"BROTHER MFC-L2170DW TONER TN760",1.5,,,,"1",,,"OFFICE",false,,"","atibbs@pulseworksops.com","","","",""
"qwnAGNq3op","LEX-TOPFLIGHT  #10 Envelopes, Strip & Seal, Security Tinted, White Paper, 24 lb, 500 Count",,,"TOP FLIGHT #10 Envelopes, Strip & Seal, Security Tinted, White Paper, 24 lb, 500 Count",200,"22","075755001183",,"50",,,"BANKING",false,,"","","","","",""
"2AfbthrDB8","LEX-Business Source #16 Rubber Bands",,,"Business Source #16 Rubber Bands",250,"6",,,"50",,,"BANKING",false,,"","atibbs@pulseworksops.com","","","",""
"2opvlJDRoM","LEX-Pulseworks Deposit Slip",,,"Pulseworks Deposit Slip",-5,,,,"1",,,"BANKING",false,,"","","","","",""
"IfiGWnR1Ds","LEX-Copier Paper",,,"8.5x11 Copier Paper",0,,,,"1",,,"OFFICE",false,,"","atibbs@pulseworksops.com","","","",""
"p0GYIHyL14","LEX-Staples",,,"Staples",1,,,,"1",,,"OFFICE",false,,"","atibbs@pulseworksops.com","","","",""
"XZxBqUdp4Q","LEX-Counterfeit Detector Pens",,,"Counterfeit Detector Pens",2,,"070889005823",,"1",,,"BANKING",false,,"","","","","",""
"b90Iop9wwk","LEX-LR44 Battery for Counterfeit Pen Light",,,"LR44 Battery {for Counterfeit Pen Light)",0,,,,"3",,,,false,,"","","","","",""
"lJ7BYJVp2b","LEX-9V Battery",,,"9V Battery (for Safe)",4,,,,"2",,,"BANKING",false,,"","atibbs@pulseworksops.com","","","",""
"fpbcdKtdQN","LEX-AAA Battery",,,"AAA Battery",0,,,,"6",,"Battery Size for:
Epson Projector Remote (2)
Sceptre TV Remote (2)
LG Portable AC Remote (2)",,false,,"","","","","",""
"6YBVc5COYE","LEX-CR2025 Battery",,,"CR2025 Battery",1,,,,"1",,"Battery For:
GOVEE Tape Light Remote (1)",,false,,"","","","","",""
"SmrB1wbIoX","LEX-OIL ABSORBANT PADS",,,"OIL ABSORBENT PADS",5,,,,"50",,"ANY OIL Absorbent pads to use for the Hydraulic areas.","CLEANING/Maintenance",false,,"","","","","",""
"3cLIC2462P","LEX-AIR CONDITIONER FILTERS 13x22x1",,,"AIR CONDITIONER FILTERS 13x22x1",0,,,,"3",,,"CLEANING/Maintenance",false,,"","","","","",""
"3NfoT57gA8","LEX-BANK DEPOSIT BAGS",,,"BANK DEPOSIT BAGS",150,,,,"50",,,"BANKING",false,,"","","","","",""
"5LyWKiCdeZ","LEX-Hydraulic OIL",,,"Hydraulic OIL",0,,,,,,"SHELL TELLUS 52 M 68 Industrial Hydraulic Fluid",,false,,"","","","","",""
"zBqKkvP2rL","Midway-VR Face Shields",,"Midway - USS Midway Museum (FANA)","1 bag 100 count",2,"15",,"0","2",,,"cleaning",false,,"","","","","",""
"r5PcCfqYKT","LEX-RIDGID SHOP VAC DRY FILTER",,"LEX-USS Lexington Museum (FANA)",,1,,"648846020334",,"1",,"DRY FILTER (VF4200) FOR RIDGID SHOP VAC Model: WD16800 SN: 18214R121615","CLEANING",false,,"","atibbs@pulseworksops.com","","","",""
"MQXsaeHN1D","LEX-HUSKY SHOP VAC DRY FILTER VF2000",,,"HUSKY SHOP VAC DRY FILTER VF2000",7,,"648846000237",,"3",,"DRY FILTER FOR CABIN SMALL 2.5G HUSKY SHOP VAC",,false,,"","atibbs@pulseworksops.com","","","",""
"2nrUcv8whe","LEX-RIDGID SHOP VAC WET FILTER VF7000",,,"RIDGID SHOP VAC WET FILTER VF7000",0,,"648846020112",,"1",,,"CLEANING",false,,"","","","","",""
"UfHr3dpScy","LEX- SAFE T WIPE",,"LEX-USS Lexington Museum (FANA)","SAFE T WIPE",1,,"819031022468",,"2",,,"CLEANING",false,,"","atibbs@pulseworksops.com","","","",""
